About Time,7.8,Comedy,Richard Curtis,Domhnall Gleeson,Rachel McAdams,12000000,15323921,89309178,"Nov 1, 2013"
Abraham Lincoln: Vampire Hunter,5.9,Action,Timur Bekmambetov,Benjamin Walker,Rufus Sewell,67500000,37519139,137489730,"Jun 22, 2012"
Absentia,5.8,Drama,Mike Flanagan,Catherine Parker,Courtney Bell,70000,0,8555,"Dec 31, 2011"
Accidental Love,4.1,Comedy,David O. Russell,Jessica Biel,Raymond L. Brown Jr.,26000000,0,135436,"Mar 17, 2015"
Acrimony,5.7,Drama,Tyler Perry,Taraji P. Henson,Lyriq Bent,20000000,43549096,46627836,"Mar 30, 2018"
Across the Universe,7.4,Drama,Julie Taymor,Evan Rachel Wood,Jim Sturgess,45000000,24343673,29367143,"Sep 14, 2007"
Act of Valor,6.5,Action,Scott Waugh,Mike McCoy,Roselyn Sanchez,12000000,70012847,82497035,"Feb 24, 2012"
Action Point,5.1,Comedy,Tim Kirkby,Johnny Knoxville,Eleanor Worthington-Cox,19000000,5059608,5103675,"Jun 1, 2018"
Adam,7.2,Comedy,Max Mayer,Hugh Dancy,Rose Byrne,3200000,2283291,2834485,"Jul 29, 2009"
Addicted,5.2,Drama,Bille Woodruff,Sharon Leal,Boris Kodjoe,5000000,17390770,17499242,"Oct 10, 2014"
Admission,5.7,Comedy,Paul Weitz,Tina Fey,Paul Rudd,13000000,18007317,18733666,"Mar 22, 2013"
Adoration,6.2,Drama,Anne Fontaine,Naomi Watts,Robin Wright,4000000,294244,384244,"May 8, 2009"
Adrift,6.6,Action,Baltasar Kormakur,Shailene Woodley,Sam Claflin,35000000,31445011,57897191,"Jun 1, 2018"
Adventureland,6.8,Comedy,Greg Mottola,Jesse Eisenberg,Kristen Stewart,9800000,16044025,17553055,"Apr 3, 2009"
After,5.4,Drama,Jenny Gage,Josephine Langford,Hero Fiennes Tiffin,650000,0,0,"Dec 31, 2012"
After Earth,4.8,Action,M. Night Shyamalan,Jaden Smith,David Denman,130000000,60522097,251499665,"May 31, 2013"
After the Sunset,6.3,Action,Brett Ratner,Pierce Brosnan,Salma Hayek,57000000,28328132,38329114,"Nov 12, 2004"
After.Life,5.9,Drama,Agnieszka Wojtowicz-Vosloo,Christina Ricci,Liam Neeson,4500000,108596,2481925,"Apr 9, 2010"
